num,titulo_empleo,descripcion_empleo,etiquetas_empleo
0,Se busca un developer Backend con experiencia con el MERN Stack. -- 2,"Busco un developer backend con experiencia con el MERN Stack

Busco a alguien que pueda trabajar 40 horas a la semana minimo.
Alguien que tenga experiencia con Node Js , Mongo Db , React , Express , Javascript , PHP.

Se busca alguien ideal que hable espanol & que se pueda integrar rapido a los task & al equipo.","[""AngularJS"", ""JavaScript"", ""Node.js"", ""NoSQL Couch y Mongo"", ""PHP""]"
1,Programador Front end,"Nos encontramos en la busqueda de Desarrollador frontend con experiencia en Vue, Bootstrap 5 y onsenui 

¿Qué harás? Te encargarás del código del frontend, siempre orientado a los requisitos del producto, colaborarás en la evolución del producto y su app web y ayudarás a la expansión y crecimiento de la compañía, principalmente. 

- 2 años (o más) de experiencia como Frontend Developer. - Haber trabajado end to end en varios proyectos que te hayan permitido ganar autonomía.

Te ofrecemos un atractivo paquete
Si cumples los requisitos indicados, postúlate y te contactaremos de inmediato. 
-Requerimientos
Edad: entre 20 y 30 años","[""Ortografía de inglés"", ""Excel"", ""Google Chrome"", ""Word""]"
2,Messagebird developer para VOIP setting up integration,"Necesito hacer que messagebird y communicator go se comuniquen y pueda gestionar un inbox con ticlets de llamadas. Necesito experto me indique cómo integrar o configurar lo que tengo contratado de VOIP.
________________________________________

I want to know first if I can have call-tickets on my Messagebird inbox. Then how to set up a messagebird number I brought to them and controll calls at my inbox (I think I have to set up a workflow but I am not an expert). Last, I am using a third provider for VOIP / digital calls and I want to know how to config both tools so that I have it all at my messagebird inbox","[""Android"", ""Asterisk PBX"", ""Linux"", ""PHP"", ""VoIP""]"
3,Angular Developer Idioma Español,"Se requiere una persona que cuente con conocimientos en angular, que sea un se-mi senior o senior, para refactorizar proyecto ya generado e implementar algunas funciones pendientes, es importante ser muy organizado ya que el código es un espagueti, conocimientos por mas de tres años en Angular, CSS y saber comunicar con API, manejo de componetes y service.

Requerimiento:
Refactorizar
Agregar arquitectura MVC
Documentar 
Administrar
Desarrollar

Se requiere presentar trabajos realizados
Se trabaja con un tester de la mano quien revisa las labores

Solo personas con idioma Español
Si eres JR NO te postules","[""Angular"", ""AngularJS"", ""CSS"", ""Frontend Development"", ""JavaScript""]"
4,"Experiencia en laravel, Node Js , Vuen php y Mongodb","Buscamos a un developer con experiencia en laravel, Node Js , Vuen php y mongoDb, del cual pueda brindarnos mantenimiento a nuestros software de manera recurrente.","[""Laravel"", ""MongoDB"", ""MySQL"", ""Node.js"", ""PHP""]"
5,Python-Full Stack Developer,"TeenSmart International, organización sin fines de lucro que utiliza la tecnología para capacitar jóvenes para que lleven vidas saludables y contribuyan a sus comunidades, busca un profesional con experiencia en el desarrollo de asistentes cognitivos-chatbots.

Actualmente contamos con Ariel, un chatbot/asistente, desarrollado en Rasa, que puede comunicarse por FB, , Whats App y Slack.

Necesitamos a alguien que pueda ayudarnos a mantenerlo y desarrollar nuevas funciones/mejoras.

Debe tener experiencia en Flask (Python), acción de git para el proceso de CI/CD, NodeJs. Conozca Rasa Open Source, Rasa X o estar dispuesto a aprenderlo 

Bilingüe (inglés-español)

Necesidad estar disponible en el horario costarricense (UTC-6) para reunio...","[""CI/CD"", ""Flask"", ""Java"", ""JavaScript"", ""Python""]"
6,Generar curso de programación básica (vídeo),"Requiero que un developer experimentado que sea muy bueno para enseñar, genere un curso de programación básica en video.

El curso está dirigido a personas que no saben nada de programación.

Debe incluir conceptos básicos de programación, algoritmos, estructura de datos. Debe incluir ejercicios de práctica que los estudiantes puedan practicar por su propia cuenta.

Para contratar a alguien necesito ver un vídeo que la persona ya tenga publicado explicando cualquier tema de tecnología.

El curso es en español.

Puedes enviarme tu propuesta, el presupuesto es negociable.","[""Programación"", ""Desarrollo de software"", ""Teaching/Lecturing""]"
7,Desarrollo de sitio Web - Ecommerce,"...de regalos personalizados centrada mayoritariamente en el Ecommerce.


Responsabilidades

Crear productos en la web y sus respectivas configuraciones
Crear nuevas páginas con Elementor
Cambiar fotos, títulos, descripciones y cualquier elemento de la web
Crear nuevas páginas internas de categorías de producto.
Si se requiere de desarrollo con código, se necesitarán sus habilidades de “front end developer”
Será esta persona responsable de que la web cargue rápido y siempre esté optimizada
Será esta persona quien gestione las comunicaciones con la empresa de hosting por si hay problemas con el servidor, conectividad, ataques de competidores, etc.
Aprender a usar nuestro software de creación de p...","[""Front-end Design"", ""Web Hosting"", ""Diseño de sitios web"", ""WordPress""]"
8,Desarrollador front end Wordpress en España,"...personalizados centrada mayoritariamente en el ecommerce.


Responsabilidades:

- Crear productos en la web y sus respectivas configuraciones
- Crear nuevas páginas con Elementor
- Cambiar fotos, títulos, descripciones y cualquier elemento de la web
- Crear nuevas páginas internas de categorías de producto.
- Si se requiere de desarrollo con código, se necesitarán sus habilidades de “front end developer”
- Será esta persona responsable de que la web cargue rápido y siempre esté optimizada
- Será esta persona quien gestione las comunicaciones con la empresa de hosting por si hay problemas con el servidor, conectividad, ataques de competidores, etc.
- Aprender a usar nuestro software de creació...","[""Frontend Development"", ""HTML"", ""PHP"", ""WordPress""]"
9,Se busca un developer Backend con experiencia con el MERN Stack.,"Busco un developer backend con experiencia con el MERN Stack

Busco a alguien que pueda trabajar 40 horas a la semana minimo.
Alguien que tenga experiencia con Node Js , Mongo Db , React , Express , Javascript , PHP.

Se busca alguien ideal que hable espanol & que se pueda integrar rapido a los task & al equipo.","[""AngularJS"", ""JavaScript"", ""Node.js"", ""NoSQL Couch y Mongo"", ""PHP""]"
